# Chunk-averaged data for fix temp_bias and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
10 100 435844
  93 0.925 3259.1 294.37
  94 0.935 3474.8 306.566
  95 0.945 3401.3 298.442
  96 0.955 6330.6 298.409
  97 0.965 5043 301.786
  98 0.975 5043 295.219
  99 0.985 6724 292.907
  100 0.995 5043 304.32
50 100 435844
  1 0.005 5043 296.608
  2 0.015 6724 297.598
  3 0.025 5043 302.5
  4 0.035 5043 300.74
  5 0.045 6283.4 296.328
  6 0.055 3349.3 295.495
  7 0.065 3432.2 307.278
  8 0.075 3289.4 300.772
  9 0.085 3645 294.465
  10 0.095 5110 301.312
  11 0.105 5488.7 303.641
  12 0.115 5043 299.546
  13 0.125 6653.6 301.729
  14 0.135 5113.4 299.999
  15 0.145 5043 302.788
  16 0.155 6542.5 301.19
  17 0.165 5224.5 297.71
  18 0.175 5043 299.938
  19 0.185 6094.2 300.369
  20 0.195 4040.5 294.043
  21 0.205 3600.6 298.796
  22 0.215 3255.3 301.766
  23 0.225 3529.9 306.603
  24 0.235 4012.5 295.319
  25 0.245 6065 302.421
  26 0.255 5043 295.275
  27 0.265 5247.8 298.587
  28 0.275 6519.2 298.162
  29 0.285 5043 295.825
  30 0.295 5240.7 297.878
  31 0.305 6526.3 298.744
  32 0.315 5043 302.896
  33 0.325 5570.3 298.731
  34 0.335 5048.3 303.551
  35 0.345 3484.4 301.814
  36 0.355 3442 294.851
  37 0.365 3586 300.963
  38 0.375 3520.3 297.685
  39 0.385 5541.4 303.694
  40 0.395 5376.7 299.328
  41 0.405 5480.8 297.907
  42 0.415 5587.6 305.863
  43 0.425 6418.6 302.007
  44 0.435 4465.6 365.097
  45 0.445 82 397.602
  46 0.455 0 0
  47 0.465 0 0
  48 0.475 0 0
  49 0.485 0 0
  50 0.495 0 0
  51 0.505 0 0
  52 0.515 0 0
  53 0.525 0 0
  54 0.535 0 0
  55 0.545 0 0
  56 0.555 27.8 265.742
  57 0.565 4065.9 2683.42
  58 0.575 6607.1 324.457
  59 0.585 5595.1 298.211
  60 0.595 5426.7 300.08
  61 0.605 5623.3 299.134
  62 0.615 5343.2 301.027
  63 0.625 3611.1 299.164
  64 0.635 3620.1 296.511
  65 0.645 3451.3 308.857
  66 0.655 3479.1 297.742
  67 0.665 4963 293.215
  68 0.675 5676.3 303.545
  69 0.685 5043 303.161
  70 0.695 6331 306.122
  71 0.705 5436 297.055
  72 0.715 5043 302.209
  73 0.725 6237 303.142
  74 0.735 5530 306.436
  75 0.745 5043 304.238
  76 0.755 5967 296.116
  77 0.765 4035.9 296.878
  78 0.775 3484.5 306.776
  79 0.785 3301.9 298.179
  80 0.795 3625.2 295.02
  81 0.805 4012.7 292.071
  82 0.815 6170.8 303.262
  83 0.825 5043 299.005
  84 0.835 5089.4 293.286
  85 0.845 6677.6 302.553
  86 0.855 5043 295.091
  87 0.865 5076.7 299.032
  88 0.875 6690.3 296.195
  89 0.885 5043 304.522
  90 0.895 5333.7 298.571
  91 0.905 5178 296.348
  92 0.915 3651.1 294.434
  93 0.925 3260.1 294.43
  94 0.935 3450.9 306.415
  95 0.945 3400.2 298.39
  96 0.955 6324 298.102
  97 0.965 5043 301.872
